
-- T3 = {1, V, thetaV} (m=3, staircase ratio 0.8889) --
   D   s   n*   log den(beta)   3*psi(n*)   ratio
   4   0   11       18.463      30.690    0.6016
   4   2    9       12.599      23.496    0.5362
   6   0   17       30.746      48.964    0.6279
   6   2   15       18.831      38.385    0.4906
   8   0   23       45.094      67.203    0.6710
   8   2   21       32.161      57.797    0.5564
  10   0   29       57.282      85.429    0.6705
  10   2   27       44.278      75.328    0.5878
  12   0   35       60.200      97.811    0.6155
  12   2   33       51.224      97.811    0.5237
  14   0   41       75.095     119.784    0.6269
  14   2   39       61.989     108.644    0.5706
  16   0   47       89.770     142.618    0.6294
  16   2   45       78.015     131.068    0.5952

-- T4 = {1, V, thetaV, theta2V} (m=4, staircase ratio 0.9375) --
   D   s   n*   log den(beta)   3*psi(n*)   ratio
   3   0   11       22.830      30.690    0.7439
   3   2    9        9.729      23.496    0.4141
   5   0   19       42.287      57.797    0.7316
   5   2   17       31.305      48.964    0.6394
   7   0   27       52.419      75.328    0.6959
   7   2   25       41.760      72.032    0.5797
   9   0   35       63.828      97.811    0.6526
   9   2   33       59.210      97.811    0.6053
  11   0   43       94.143     131.068    0.7183
  11   2   41       77.608     119.784    0.6479
  13   0   51      105.067     148.456    0.7077
  13   2   49       99.751     148.456    0.6719

-- TA control = {1, A, thetaA} (m=3, staircase ratio 0.0000) --
   D   s   n*   log den(beta)   3*psi(n*)   ratio
   6   0   17        0.000      48.964    0.0000
  10   0   29        0.000      85.429    0.0000
  14   0   41        0.000     119.784    0.0000
